IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9706888477453219,0.9321432254551085,0.9509418275913722,330.9,24.5,10.2
0.12,0.9706888477453219,0.9321432254551085,0.9509418275913722,330.9,24.5,10.2
0.14,0.9704221810786553,0.9318963118748617,0.9506854173349619,330.8,24.6,10.3
0.16,0.9704221810786553,0.9318963118748617,0.9506854173349619,330.8,24.6,10.3
0.18,0.9704221810786553,0.9318963118748617,0.9506854173349619,330.8,24.6,10.3
0.2,0.9704221810786553,0.9318963118748617,0.9506854173349619,330.8,24.6,10.3
0.22,0.9698038234060503,0.9313104480903359,0.9500837489492427,330.6,24.8,10.5
0.24,0.9698038234060503,0.9313104480903359,0.9500837489492427,330.6,24.8,10.5
0.26,0.9698038234060503,0.9313104480903359,0.9500837489492427,330.6,24.8,10.5
0.28,0.9695260456282725,0.9310416308860349,0.949810524905527,330.5,24.9,10.6
0.3,0.969212566004448,0.9307431234233483,0.9495047145079735,330.4,25.0,10.7
0.32,0.9685955292370656,0.9301543214567995,0.9489021295182918,330.2,25.2,10.9
0.34,0.9676098360448961,0.929196380924391,0.9479305890150407,329.9,25.5,11.2
0.36,0.9667315485831225,0.9283345658426271,0.9470606644032082,329.6,25.8,11.5
0.38,0.9661818357465444,0.927797343502126,0.9465173017741186,329.4,26.0,11.7
0.4,0.9645882204709422,0.9262851883834134,0.9449657597497529,328.8,26.6,12.3
0.42,0.9631336688192821,0.9248655040223209,0.9435289281346229,328.3,27.1,12.8
0.44,0.9596560570860356,0.9215107633209592,0.9401142999579373,327.2,28.2,13.9
0.46,0.9566323201365993,0.9185963247949651,0.9371463938213657,326.2,29.2,14.9
0.48,0.953838074198352,0.9159330832908372,0.9344194222925765,325.2,30.2,15.9
0.5,0.9500331224101387,0.9122528879552438,0.9306782340448606,323.9,31.5,17.2
0.52,0.9462137585995294,0.9085932425222694,0.9269408837743203,322.6,32.8,18.5
